,FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial
24,25,5500.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,0,B1028
25,26,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1029
26,27,2490.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1031
27,28,5600.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1030
28,29,5300.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,2.0,1,B1021
29,30,6123.547647058824,LEO,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1032
30,31,6070.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1034
31,32,2708.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1,B1035
32,33,3669.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1,B1029
33,34,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1036
34,35,6761.0,GTO,KSC LC 39A,1,False,False,False,,3.0,0,B1037
35,36,2910.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1039
36,37,475.0,SSO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1,B1038
37,38,4990.0,LEO,KSC LC 39A,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1040
38,39,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,4.0,1,B1041
39,40,5200.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1,B1031
40,41,3700.0,GTO,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,0,B1042
41,42,2205.0,ISS,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1035
42,43,9600.0,PO,VAFB SLC 4E,2,True,True,False,,3.0,1,B1036
43,44,6123.547647058824,LEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1,B1043
44,45,4230.0,GTO,CCSFS SLC 40,2,True,True,True,,3.0,1,B1032
45,46,6092.0,GTO,CCSFS SLC 40,1,True,False,True,,4.0,0,B1044
46,47,9600.0,PO,VAFB SLC 4E,2,True,True,True,,4.0,1,B1041
47,48,2760.0,ISS,CCSFS SLC 40,2,True,True,True,,4.0,1,B1039
48,49,350.0,HEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,1,B1045
49,50,3750.0,GTO,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1046
50,51,5383.85,GTO,CCSFS SLC 40,2,False,True,False,,4.0,1,B1040
51,52,2410.0,ISS,CCSFS SLC 40,2,False,True,False,,4.0,1,B1045
52,53,7076.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1047
53,54,9600.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,4,B1048
54,55,5800.0,GTO,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1046
55,56,7060.0,GTO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049
56,57,2800.0,SSO,VAFB SLC 4E,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,4,B1048
57,58,3000.0,GTO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2,B1047
58,59,4000.0,SSO,VAFB SLC 4E,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,3,B1046
59,60,2573.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1050
60,61,4400.0,MEO,CCSFS SLC 40,1,False,False,False,,5.0,0,B1054
61,62,9600.0,PO,VAFB SLC 4E,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1049
62,63,12259.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051
63,64,2482.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056
64,65,13200.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049
65,66,1425.0,SSO,VAFB SLC 4E,2,True,True,True,5e9e3032383ecb554034e7c9,5.0,12,B1051
66,67,2227.7,ISS,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,3,B1056
67,68,6500.0,GTO,CCSFS SLC 40,3,False,True,False,,5.0,2,B1047
68,69,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048
69,70,5000.0,ISS,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1059
70,71,6800.0,GTO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056
71,72,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049
72,73,6123.547647058824,SO,KSC LC 39A,4,False,True,False,,5.0,3,B1046
73,74,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051
74,75,15600.0,VLEO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3,B1056
75,76,1977.0,ISS,CCSFS SLC 40,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5,B1059
76,77,15600.0,VLEO,KSC LC 39A,5,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4,B1048
77,78,15600.0,VLEO,KSC LC 39A,4,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051
78,79,9525.0,ISS,KSC LC 39A,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,13,B1058
79,80,15600.0,VLEO,CCSFS SLC 40,5,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9,B1049
80,81,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5,B1059
81,82,3880.0,MEO,CCSFS SLC 40,1,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060
82,83,6123.547647058824,GEO,CCSFS SLC 40,2,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13,B1058
83,84,15600.0,VLEO,CCSFS SLC 40,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9,B1049
84,85,1600.0,SSO,CCSFS SLC 40,4,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5,B1059
85,86,15600.0,VLEO,KSC LC 39A,2,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1060
86,87,15600.0,VLEO,KSC LC 39A,3,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13,B1058
87,88,15600.0,VLEO,KSC LC 39A,6,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12,B1051
88,89,15600.0,VLEO,CCSFS SLC 40,3,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12,B1060
89,90,3681.0,MEO,CCSFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,8,B1062
